Position Name,Salary,Company,Location,URL,Id,External Apply Link
Python + React,2000000,Hitachi Solutions,"Pune, Maharashtra",https://in.indeed.com/rc/clk?jk=873714e7d4576484&fccid=e4ae1383314c34d1&vjs=3,873714e7d4576484,in.indeed.com/applystart?jk=873714e7d4576484
Sr. Python Developer,1800000,Talhive,"Pune, Maharashtra",https://in.indeed.com/company/Talhive/jobs/Python-Developer-cb7f5271d2f216d8?fccid=4706bb9c51ce58f1&vjs=3,cb7f5271d2f216d8,in.indeed.com/applystart?jk=cb7f5271d2f216d8
Python and Power Platform Developer,1800000,Johnson Controls,"Pune, Maharashtra",https://in.indeed.com/rc/clk?jk=b1e0027baac36342&fccid=dacddaa4d49537d8&vjs=3,b1e0027baac36342,in.indeed.com/applystart?jk=b1e0027baac36342
Computer Science - online tutor/expert,600000,Chegg India,Remote in India,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BBJGzQ3pZDDCAurZe0N9GWXS38iI_dIqspGlSJHY7voVFClqbSiPWreYra092my0apX8J_QgyGy2n__cUPnrz0k8JMu2S3XxSciyBYRAiMOvDfaGPfjYt3mS8eZnivQ3wWCf-ds62Gf4LPZjSxi5Vakg9F4zU0cnn5U2fSJ4dHUkvjhAPfNv0DB7upNzlT-7Hek6JWv6l5_qOeF2ENZSpEJv2tCH-kbkRSZhMMurGJIfl4BoyuGSARnNvByJb8SKwUFES3dZQlrn2WqIwO3yrajaW40JHUO3-FmQewiPHlhd7hoK8SyehT5WPiwlVmj0sR5AkayYQNxbBJVC-gGICdRnXwtowOJFxxhyPELUOuz0rIGUgD5OEpUaNzrz1PRrwQ2Kf5nwMPNs36UtwowDrW8cDYGcmUYZ4PsNgvESVH3f8g3Xftz1V-oSQ4aF5dxOP_z7knit1I64jkligxOUMhOSi1-qTNefcTJiXMMPucwzvvoD__Uxj2BkAU44InFazYXKEY--zMRVGmvJ7Osu-2YWYSWjp2WJls6THiAshxwnUuSP1pWHZdTn_Ps5u7G2Na4NE7R3WrMOT-a3Id5lQowZK2MTY0Gs_9y-mjSiwACGBaPIGySZoMj0Vpm4DGb3XjyjSXCMli9NTlkDKqNHv7Tv0c9G-eeA8CFGt1Vjlxt1Y0xlxdIpQ9gt5y0Sz9ZdPIRf2gSu4eDhYoMeaWfOhxxtfGY9q0cns=&xkcb=SoCb-_M3Jv60HhwHDZ0IbzkdCdPP&p=3&fvj=1&vjs=3,e0cbf6ec8c839ce0,in.indeed.com/applystart?jk=e0cbf6ec8c839ce0
SME - Academics,650000,Ark InfoSolutions,"Pune, Maharashtra",https://in.indeed.com/rc/clk?jk=fdab497b7f774dde&fccid=67218ce2429eb429&vjs=3,fdab497b7f774dde,in.indeed.com/applystart?jk=fdab497b7f774dde
Technical Manager,2400000,NexAITech,"Pune, Maharashtra",https://in.indeed.com/company/NexAITech/jobs/Technical-Manager-398d6e92a197d20c?fccid=6b94eb5406a92d4c&vjs=3,398d6e92a197d20c,in.indeed.com/applystart?jk=398d6e92a197d20c
Product Developer- Penetration Testing,300000,BMC Software,"Pune, Maharashtra",https://in.indeed.com/rc/clk?jk=ddf7b7d5b131b60d&fccid=1b980b4f5c48c05a&vjs=3,ddf7b7d5b131b60d,in.indeed.com/applystart?jk=ddf7b7d5b131b60d
IT Software Developer,1000000,SAS,"Pune, Maharashtra",https://in.indeed.com/rc/clk?jk=d886c5119e9ffbf2&fccid=068cc3667458485a&vjs=3,d886c5119e9ffbf2,in.indeed.com/applystart?jk=d886c5119e9ffbf2
ROR Developer (2-3 years),500000,Mindbowser Info Solutions Pvt Ltd,"Pune, Maharashtra",https://in.indeed.com/rc/clk?jk=f5d2363dad8a9269&fccid=26af1daddcca9b03&vjs=3,f5d2363dad8a9269,in.indeed.com/applystart?jk=f5d2363dad8a9269
Linux Developer,1600000,Arting Digital,"Pune, Maharashtra",https://in.indeed.com/company/Arting-Digital/jobs/Developer-86941e951b085cf0?fccid=4e7f568d250cd695&vjs=3,86941e951b085cf0,in.indeed.com/applystart?jk=86941e951b085cf0
Engineer,800000,Deutsche Bank,"Pune, Maharashtra",https://in.indeed.com/rc/clk?jk=98e40619d169937c&fccid=f1d8e147024abb3f&vjs=3,98e40619d169937c,in.indeed.com/applystart?jk=98e40619d169937c
GCP Developer,1350000,Thinkreh,"Pune, Maharashtra",https://in.indeed.com/company/Thinkreh/jobs/Developer-6b1645ddc9100707?fccid=b95b9b516bd2d67b&vjs=3,6b1645ddc9100707,in.indeed.com/applystart?jk=6b1645ddc9100707
Content Developer,600000,Mobile Programming India Private Limited,"Pune, Maharashtra",https://in.indeed.com/company/Mobile-Programming-India-Private-Limited/jobs/Developer-0084cbebbc473f6d?fccid=92da476af4ea5a25&vjs=3,0084cbebbc473f6d,in.indeed.com/applystart?jk=0084cbebbc473f6d
SRC_BackendDeveloper,700000,Siemens,"Pune, Maharashtra",https://in.indeed.com/rc/clk?jk=371d77cc3695578a&fccid=dd616958bd9ddc12&vjs=3,371d77cc3695578a,in.indeed.com/applystart?jk=371d77cc3695578a
Python Developer + Elastic Search,750000,Brightleaf Solutions,"Pune, Maharashtra",https://in.indeed.com/rc/clk?jk=8a579a121a7f5a12&fccid=d5c00519644cea73&vjs=3,8a579a121a7f5a12,in.indeed.com/applystart?jk=8a579a121a7f5a12
